Date,ABB.NS,ABBOTINDIA.NS,ABCAPITAL.NS,ACC.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,ALKEM.NS,AMBUJACEM.NS,APOLLOHOSP.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,ATGL.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BANDHANBNK.NS,BANKBARODA.NS,BANKINDIA.NS,BEL.NS,BERGEPAINT.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,CANBK.NS,CASTROLIND.NS,CGPOWER.NS,CHENNPETRO.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,COLPAL.NS,CONCOR.NS,CUMMINSIND.NS,DABUR.NS,DIVISLAB.NS,DLF.NS,DMART.NS,DRREDDY.NS,EICHERMOT.NS,EMAMILTD.NS,EXIDEIND.NS,FEDERALBNK.NS,GAIL.NS,GICRE.NS,GLAXO.NS,GLENMARK.NS,GODREJCP.NS,GRASIM.NS,HAL.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HDFCLIFE.NS,HDIL.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDPETRO.NS,HINDUNILVR.NS,HINDZINC.NS,IBREALEST.NS,ICICIBANK.NS,ICICIGI.NS,ICICIPRULI.NS,IDBI.NS,IDEA.NS,IFCI.NS,IGL.NS,INDHOTEL.NS,INDIGO.NS,INDUSINDBK.NS,INDUSTOWER.NS,INFY.NS,IOB.NS,IOC.NS,IRCTC.NS,ITC.NS,JINDALSTEL.NS,JPASSOCIAT.NS,JSWENERGY.NS,JSWSTEEL.NS,JUBLFOOD.NS,KOTAKBANK.NS,LICHSGFIN.NS,LT.NS,LTIM.NS,LUPIN.NS,M&M.NS,M&MFIN.NS,MARICO.NS,MARUTI.NS,MOTHERSON.NS,MPHASIS.NS,MRF.NS,MRPL.NS,MUTHOOTFIN.NS,NATIONALUM.NS,NAUKRI.NS,NESTLEIND.NS,NHPC.NS,NIACL.NS,NMDC.NS,NTPC.NS,OFSS.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PETRONET.NS,PFC.NS,PFIZER.NS,PGHH.NS,PIDILITIND.NS,PIIND.NS,PNB.NS,POWERGRID.NS,PUNJLLOYD.NS,RAYMOND.NS,RCOM.NS,RECLTD.NS,RELCAPITAL.NS,RELIANCE.NS,RELINFRA.NS,RPOWER.NS,SAIL.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SHRIRAMFIN.NS,SIEMENS.NS,SOLARINDS.NS,SRF.NS,SUNDARMFIN.NS,SUNPHARMA.NS,SUNTV.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATACONSUM.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TORNTPHARM.NS,TORNTPOWER.NS,TRENT.NS,TTML.NS,TVSMOTOR.NS,UBL.NS,ULTRACEMCO.NS,UNIONBANK.NS,UNITECH.NS,UPL.NS,VBL.NS,VEDL.NS,WIPRO.NS,WOCKPHARMA.NS,YESBANK.NS,ZEEL.NS,ZYDUSLIFE.NS
2008-01-31,972.36113280414,206.379150390625,,597.9162350660135,56.48083009908565,,150.4990585564179,,,85.7876306379804,227.50677463424384,35.27525026040014,5.945375994307281,99.15423802916744,,29.083679885773492,199.13641764631404,357.80218753483126,2236.731311726121,1492.2736729395965,3.37702030336903,,56.02270692911512,272.5783658185234,12.327608450979088,11.769321985974337,122.09118946135692,357.0623000614385,224.6942154753581,29.09065088220727,3227.31064637626,15.412500381469728,112.68126967476678,36.94123558489138,16.3125,55.71841628603228,197.4483681675385,44.386237416661686,165.012443825354,,134.30584869566633,138.1098697241688,161.1296732660498,40.63150463723346,287.1271382865732,729.4541972738032,,94.7720058923019,24.76755305552915,36.24004879359539,61.992227774750766,24.66905744237188,29.032223226473395,,286.57025016168217,464.4425427403869,31.577412398432084,394.60867248435915,,50.12888227605289,39.0825532081218,,66.94167075766092,,703.07768158562,384.7334976388753,136.53702935830225,18.518518447875977,136.81503646655824,30.247499465942383,478.73465838545457,174.5926496680729,,,87.28107162844562,68.41756844532846,47.65653020685369,8.79779258639172,109.35335359092568,,81.12977177555754,,122.89804049081212,122.93077533779989,19.04166603088379,,37.767171612116826,351.97215447659516,225.36104069706627,,85.46546163894384,,51.45230468538714,43.40847123786834,658.8856001026692,,95.60502532684905,141.32981275329567,28.307672305358796,25.108052386920296,736.5179770500063,2.5158102829208224,139.32972086525413,4467.679666604011,58.94853014129716,,50.618751525878906,47.20729260765764,435.156494140625,,,,94.2916766154582,547.7353202612073,,81.66666412353516,346.2298553266289,21.599734015213816,39.13999938964844,381.19440322413425,572.112854975288,38.873010012592104,,101.84748435375128,33.936725575005006,397.1895272354697,286.83404855629834,605.1006286738155,,1412.600213322095,248.2776556821129,1707.7954000084544,,155.61003749840256,,172.09031237448468,1171.9581064696588,59.858266891709015,402.36460267326646,77.79905632656836,14.185535813984812,105.17808353104483,94.32468990804868,212.17079063562448,293.1871873419829,72.3071517944336,239.04125114629812,63.675949919845415,100.41159676909268,43.327863459956674,146.87178425932134,122.26463566306096,53.03513654931064,30.171210414905,128.95239722356524,45.5513652091855,31.78730010986328,16.75844991432046,,799.2268810438133,131.2210914460239,379.7366502797624,92.53055135358927,,75.7750015258789,37.438292603465776,301.19367033359003,44.45268929609947,109.33379510264152,27.141351736919976
2008-02-29,999.6298580961434,206.379150390625,,603.1349379583914,43.615755756613304,,133.65622150499263,,,88.80363139390101,226.1015846632687,36.39764907584691,5.978637733499328,96.71321646311642,,26.755598322212354,177.8868946664971,347.78848766141954,2174.133160699074,1450.5096220131604,3.688746176231088,,50.28118602812051,253.71342646852517,10.727463606758992,10.684117706178888,123.79875492494205,351.2632239608024,246.6908179274044,32.65933564342469,3359.7505923148938,19.54166603088379,109.5434210375703,35.08755246649363,17.600000381469727,52.47897587926572,194.2115212817606,36.366637258656645,183.46104285236905,,125.41895963404978,149.50176001302452,164.103073964963,40.42527176468196,295.5846632573893,682.8030296215671,,88.40727990872526,24.660833126389296,35.605850181287636,61.41897537742198,22.857910916924975,30.189801169320173,,351.30634937541066,482.4148759803709,36.04094319107802,384.4972654901308,,47.3910759941518,44.6400904316665,,63.38187979688187,,656.7209508383239,414.7437960851219,156.94000728943004,22.448148727416992,154.89957609542716,33.15999984741211,492.6318790509628,161.38813909146913,,,86.75998124629308,65.89456745729882,50.25961707609755,10.822386712349234,98.46220751975495,,87.64673823817742,,128.97717658817172,131.49563484560846,22.520832061767575,,37.955066744550926,370.72601626729823,175.21708733994214,,86.43795382761114,,40.13938673782742,45.91847873420576,644.7918377380591,,97.60141787156014,137.69561641846144,29.83603364660246,25.247536617316204,725.1601814294951,2.7433044020523636,143.5086944499711,4394.502656972003,60.33828464394664,,59.9375,49.61486712530979,435.156494140625,,,,96.01676792913057,583.670073103031,,87.40833282470703,357.7433674153872,22.349717918729976,36.150001525878906,384.6729678486088,556.0935063610339,35.25461926938574,,86.90987185533997,34.02885405888759,396.1989870541438,308.74628128605616,566.8786586835082,,1348.0652200148195,256.3125388213094,1350.052331014796,266.404681205307,175.75523672711714,,160.51116753495526,1097.6135068411609,60.02711538545892,402.12943608296155,83.34353489592309,14.476515759904172,97.83063582416592,109.79775193060232,191.07786755476965,271.1296206373915,72.15283966064453,246.21247822110337,61.99686797395987,104.60303629313668,49.5286393877516,148.56001695127247,117.9344576098858,50.17452010852236,28.916441398061764,106.52589901194852,43.08185270793673,29.54994773864746,17.197361501824766,,818.7482157591761,118.23220094434632,380.7281275494028,89.03831435668823,,81.0,40.060791604622096,287.8619746006796,44.271980193565554,97.402121080679,27.015623591996334
2008-03-31,1014.637980840954,220.1325225830078,,629.9741497300239,37.340108702556265,,113.19122973580085,,,90.93023273402828,230.36252909622488,33.27097651725892,5.704234347194994,98.4808429962901,,25.191959029128743,143.38535256717992,328.99798583984375,670.5301852854219,447.3555755063579,2.935410988005297,,43.1328389902642,197.0095839655764,8.26703086923801,9.379285086210372,119.52983394621708,342.0260021628077,220.9491634372539,31.031952265189847,3270.636476439634,17.5,105.56043617814112,30.06275054494263,15.4375,46.00818180805298,176.0850961067582,29.225518914998105,194.28956368186255,,129.29442925788604,143.9494159608258,143.84879763030852,43.72529250257767,287.25529692905394,590.0944036262999,,100.95101882176706,20.490222033242823,32.816658577722244,54.86762611704653,17.40885908288995,31.726084512537867,,343.05974307661666,463.3074378626981,35.93003982326637,355.21354683849614,,40.702936219013495,42.20914865175569,,60.77713686087881,,556.2039929246768,389.91161746795984,135.41214504874273,19.407407760620117,170.05691821682646,26.924999237060547,383.1244256015274,124.5402962058949,,,65.50733136875708,61.62032718779995,36.84369792094667,10.0125478418059,92.03202267891034,,72.26312098201801,,121.74797400077875,105.02600039372416,19.375,,38.89455092069091,362.6667520274287,149.73097198101306,,65.93286039716618,,33.145780414644214,39.86491926154928,552.3011523153816,,78.30296114258184,132.24431146292002,24.548094499881447,26.34352963668649,733.896992140266,2.688437334718709,138.6796645078222,3814.5468725451983,56.74810190722168,,57.5,40.12620198884771,435.156494140625,,,44.66324996948242,97.00515391617066,528.2703732808042,,88.5,340.5195660348649,20.96974099665948,32.70000076293945,389.9343785667114,530.1579582993561,30.051148614632307,,78.61117735828529,30.55894166677519,326.8641832217334,272.82147589038146,522.986793536775,20.521875381469727,986.1671069181364,231.5049259328855,1132.8516761502897,200.21680738341132,135.5330109271241,,133.6794092570909,917.61165279772,52.18984100766587,309.94542360869633,69.21747371235206,12.847770208625647,89.8521113399545,105.82459592903186,180.22116406700425,242.0392750471201,62.82786178588867,266.0050869674935,58.36962018120815,92.9568000117198,42.7310657765221,147.0490561822986,123.96277329297152,49.72044336744305,27.359769103532074,78.49276737440641,39.850723677327544,24.906383514404297,14.184829239555476,,711.9550372656374,97.58319273384596,289.51201311924325,72.84205889010987,,78.75,40.65762897331525,227.74215088040864,32.52635701497396,95.89078208637228,26.717025869116195
2008-04-30,959.67846613376,220.1325225830078,,587.1453367835416,55.2257008014328,,134.01842496535835,,,84.40378422840848,226.6455536709713,36.59807181426713,6.751951244243179,105.88795205822574,,27.98913870739327,168.26849832986093,328.99798583984375,685.2132104389464,457.1515807355651,2.701616855448852,,45.275207867785554,246.44369658197763,10.09907510306786,11.485102064481095,128.4945922688115,376.9451564984861,202.89781803222257,35.701179185208865,3423.506286222142,16.458332061767578,105.63869456843015,31.83698932676403,19.208872034444543,41.24009310490308,242.76441250109653,31.36523131173175,191.61589322515496,,132.5017240310159,151.1469446945473,153.71133432622966,43.31278686541698,305.40891094557264,619.6118337742221,,112.1069091696213,23.55521675514015,33.910330021870855,60.80481173298828,19.516656084810343,31.751098661917112,,355.234513773493,626.0989256973484,35.763704584932874,333.15216718432833,,43.445043340711976,45.35959703467969,,67.58359930876811,,602.6380520845375,480.44368685400656,155.07812331367936,18.88888931274414,181.73941674621423,33.349998474121094,425.49970553710347,134.68574222754003,,,79.27875559784441,62.86698338480208,48.05700268638179,8.760982295863302,95.60608019405645,,82.19376535326782,,144.58591801144664,117.2725642939706,18.91666603088379,,39.55218617682953,382.01698819060465,170.1198842129152,,72.42723230950445,,38.9499745467225,52.26733336662658,519.7091696700984,,103.0493457270518,130.63924767544611,26.0387201814466,27.21144162702597,642.0724735503504,2.569338461185937,147.3471124264164,4415.186360449354,80.06500959950873,,56.28125,44.6108836679844,435.156494140625,,,58.160614013671875,91.89841015963118,724.1430498039884,,87.91666412353516,376.2860501257072,24.29969737848105,32.7599983215332,398.02162590940344,583.5552071595677,33.888160666973974,,86.59300243231633,32.68879840129554,369.85176118607984,261.44212973397646,562.0886530268727,22.6875,1080.6031204627277,266.1551890461494,1235.0640443530228,247.9749551248931,124.34857650222348,,143.6614789373599,971.9560308756168,49.12706602531261,273.401044423414,74.16161461863088,16.109702977604083,90.90392641771884,126.9318233217141,195.42050345547435,261.76774653176,82.00689697265625,242.38787357120185,66.78393794911968,106.04074943204044,48.2634304992886,154.6543236984856,155.37796920076144,59.93697426818057,30.171220969290665,91.24785241357353,38.92753164054759,30.85858726501465,15.681116900296107,,734.7374151880117,109.23987969368504,321.68553834804106,88.06212843074356,,104.5,43.31628898398573,257.52825506668364,30.945220656568814,85.70908175162764,28.812475300015073
2008-05-31,839.0898189879591,220.1325225830078,,497.3696814016471,54.09608179359381,,152.6904752718158,,,72.59751300988283,223.0418660029525,35.114915314849156,6.061789003494305,105.97210750162296,,25.45256262636814,143.2962528836345,189.596048762874,61.78021415445312,404.9057179531488,2.260007094952818,,39.062356676050754,216.3833380139133,8.626107979863683,9.844374374972247,110.99202534190276,358.7192073386869,173.21983424220326,33.83203516279003,3525.853080543395,14.958333015441896,115.4200715229372,28.930678966148587,19.1538802076412,37.56345094329763,218.74869755904467,25.137423709074348,190.5018461623463,,145.29755519020543,149.4332123471157,140.79386248899704,39.53838866275319,304.3410501845825,502.34783038393334,,119.70919238977731,26.932415410772222,38.05204829972461,60.600064160453016,17.151241806073465,28.010409328908064,,379.21282504356714,651.7330943032742,38.33648051863863,292.837700473504,,41.5341437235172,47.41494459392452,,56.79623700329421,,599.5475243764065,433.1731171781709,149.72526583682043,18.88888931274414,170.73571332791994,31.4950008392334,374.3911516006231,116.67631818662458,,,65.50731623132708,64.11363168407505,51.26080101656626,9.129090350171424,89.88604798847298,,69.24846754362129,,157.51091188411803,98.99934849530432,17.54166603088379,,40.773520803514494,372.33782106367266,145.14347273927882,,98.45478623135416,,33.93379128517851,52.10492037340834,519.7092078234227,,126.526974720724,123.1588353905226,26.03871808240088,25.02731057645541,683.6600307347471,2.182599191975648,145.4898061591037,3917.466506881854,65.93588844594915,,67.125,46.310352032046815,435.156494140625,,,56.11090087890625,81.42597185852682,746.4660923383389,,71.41666412353516,368.41125220600617,21.444524140004564,27.0,383.3567136215664,579.8934824340674,32.357726479096875,,77.62020276251697,31.515846806453975,312.0067353797625,224.50450587905004,563.0661319791735,20.25,889.1493719368823,252.3009525488305,1062.8789167550856,302.223295251221,113.16412951004904,,118.67525577387904,728.5144301834968,52.21286053935248,268.0392717971399,72.39584918742692,14.747444589496196,102.70679122564296,121.0747875360271,204.72621643340807,255.73959623871943,92.0813980102539,241.43162185828191,65.26785305951438,104.71714784079369,54.034498119596385,167.29885819650767,142.81188261875943,53.13730209521085,31.09580188023891,83.01310466563136,39.61991386239643,27.059309005737305,15.002799568168442,,588.9016053320391,95.35174883708166,237.95508879966175,94.31792559616804,,104.9499969482422,46.21006991519546,252.68945719490335,27.64740388979263,91.07833946943052,31.327021666948557
2008-06-30,716.1928856702102,220.1325225830078,,436.23620129266766,39.8503688445278,,89.82855663118073,,,59.65463321104671,222.1126363622573,27.991073180909368,5.138800860264551,98.10653728216076,,24.74023649848208,112.09733287695252,148.24516636738636,54.42880599093201,288.39841125892156,1.3331768233321426,,28.593363448195223,163.49613743689292,7.780028672470815,10.1285957698326,104.1617435492838,313.9000212305966,150.22934602962903,30.180375831963357,3248.0587070402953,10.927083015441896,114.94662628332796,24.27239163992502,16.23923435834153,37.09167364308327,190.50190223760637,22.223569017657887,188.0509249515576,,118.60342936444115,133.49596949762358,110.6529583799241,34.87196079593781,287.4197671089967,349.459474403227,,116.7301653331989,24.976765169803183,32.370134819824855,52.32896911145575,14.059802602296578,24.22329376049979,,384.2680501757931,592.1405766063093,37.08183718491406,254.36172600746724,,30.032552540696535,39.24077513934505,,44.09238792556274,,329.90568795954823,381.9496121847439,113.22488424936616,13.96296215057373,148.62115965032436,25.75,226.68509288806231,97.53712183406532,,,51.36370107094886,57.40545225403413,32.83895307276422,8.576926524717514,67.41454499782782,,49.65319397442974,,142.92655079124305,67.42744095821364,14.791666030883787,,34.52595591137226,296.5808106954953,91.3996159663742,,82.1847064944905,,24.23138710867512,41.58439807517546,397.2692745309763,,119.07370973753996,102.36318340980584,25.711951866299312,22.62276169888705,572.0901537501576,2.0875872497387777,135.58414112117495,3260.812857700545,44.34174801148832,,40.625,46.40477062924032,435.156494140625,,,36.76673126220703,71.54192960463051,754.0342623343427,,69.41666412353516,302.6020283975231,18.339504862709884,21.799999237060547,357.19114117730794,565.6670282130437,31.483193710817464,,61.93513941657873,24.709539124981973,220.2371365574056,202.45321004087657,461.0104112754747,16.3125,692.150010731791,220.1032919828176,741.0382566698368,141.31511335388086,100.17350036383768,,96.79598923449254,557.4720218309552,44.674920735869385,188.60104242916296,69.51767495336586,15.418971472328243,89.81477881087463,116.26674235339658,189.8370274222858,214.6386061712728,64.16157531738281,185.6394531492496,57.07714713956619,80.55367793791444,43.15777380294472,147.84304225187435,121.41562943088287,46.541972433156786,32.124469273406596,71.81629652340074,36.54647980978894,21.275962829589844,11.17229624144884,,505.258406027402,76.11959098279581,178.46630469327962,79.46902806637988,,85.5,40.66912133602595,164.4344104739976,25.01818856954632,84.31704571819287,32.47951827741457
2008-07-31,673.9840986343822,220.1325225830078,,451.18168693005634,40.16415465707553,,103.41150941225736,,,59.98462105945115,221.56868282264057,23.59712479923349,5.014328586688022,101.49682243316376,,23.715187836136867,121.9618859294082,163.64114592823074,41.32735503182841,246.55281820010728,1.0456287918519436,,36.958489929905696,202.0119041157008,7.464338327257826,10.872382687119314,105.141249662259,341.73595461132373,181.7682686775258,27.917460019675364,3164.2930789880656,13.735416412353516,109.7034716255592,24.982631835384197,18.694525986230698,39.20655061660831,198.38472071104337,18.611604912068255,196.0720711175303,,129.74041276354777,140.8647522919889,138.66337732819466,37.13718424289351,306.05279620109866,415.6616070972954,,104.9108246247334,22.98209357657996,31.269985093272467,57.29468665869063,15.72697528586548,27.00290027253869,,372.3130135276101,614.8424187927136,34.293715869567016,248.5069292618416,,33.005169213224384,32.6021947846245,,48.02141315989415,,350.0000915527344,437.0707571624532,108.60900548634318,16.22222137451172,169.77111831705162,29.28499984741211,228.58364197738703,95.29115947344128,,,58.727682848356274,54.05135773893053,36.803653717041016,8.177292729312745,71.050865026325,,50.98318544832272,,134.00928172282542,69.45024974267625,16.993749618530273,,36.72006114422381,336.8770854353291,100.73391398947764,,62.9943606538463,,27.17742784089052,48.07004396664349,463.3339835901048,,133.30803115599738,107.19356113253228,23.510122066609263,22.622771660472793,517.222562384363,1.953767157809748,133.5139250470801,3293.9915734525885,52.621489933590105,,54.51874923706055,40.30772692935899,435.156494140625,,,42.23690414428711,80.03748694995264,739.6331276804401,,82.5,341.8122937942753,18.63012517848493,27.0,343.8041117007265,538.548906886071,32.576361201669684,,72.77377413529656,30.83676976502655,274.33680518943754,198.17604850254727,497.5705908194664,17.081249237060547,935.9992651091012,223.6168708665691,832.612874250626,160.22243421500863,96.44976641521396,,112.59586793409623,539.8788860104293,46.266736748793306,247.43891903107385,67.62831229698165,16.771623390895908,87.44051077920118,125.8740533857701,146.9065969038731,201.7316131591797,67.89817810058594,214.16342147508223,57.83897948452765,84.47505739072712,38.55447876563216,143.09278515039355,130.16387001965126,50.0956256976907,33.66337058632705,71.81629195068768,36.95189323264641,21.4448184967041,13.107498214315052,146.37201381016877,516.3390147875267,84.33295770385197,159.62820958259437,90.4544509235008,,83.75,38.663016386138274,162.7215523534647,23.38283725094434,81.29013694597752,32.766694606376475
2008-08-31,737.3819403306554,220.1325225830078,,426.8453823730331,35.143633624195346,,102.68709432262575,,,59.45832631042684,216.86005318624888,33.28009209828769,5.522773665023637,101.83625076076714,,26.96514501868912,122.85867257809424,188.7350362957866,52.98379164538991,340.85933391270805,1.1501918347504747,,41.411317095471475,188.7245616195776,6.8823355251745175,10.008872296371802,115.21143103404174,335.60547175139845,176.43752212984276,28.7326480364268,3525.5110180769593,12.08958339691162,113.7078122479528,28.36836237791846,21.69248222224337,43.27362262313052,173.81665374384886,18.160076053565717,216.19179134367417,,142.0844563847127,151.09892262553336,156.66533155061336,37.59438400383226,319.1173051397245,408.4942986870464,,104.36848366602696,24.196243073563178,38.799978260577525,57.70685585384545,16.740839660468854,28.358032857869837,,401.3466346690479,607.2751545966426,37.261531829833984,261.9396336031941,,30.373394958990723,36.240429673723,,53.967345610366856,,280.1000061035156,461.5688515145844,108.3290937773862,14.711111068725586,174.8045391976165,28.18000030517578,213.18452483493343,96.26198886256404,,,62.56610330610133,48.441411745057835,34.96146669141971,8.68837558466082,62.92025551277666,,51.24919403904527,,142.4265364015687,67.5067606042795,16.537500381469727,,35.566546915014484,302.2222858738729,102.56489538915416,,63.16123890698354,,28.583155437298164,50.969510171512475,449.1157824261566,,131.84906299125123,118.97863013262344,23.783554608897504,24.846974501062466,558.9659548591634,2.427459986468473,153.66697693289672,3336.9875940308852,48.14806887485255,,47.25,40.869983730027336,435.156494140625,,,37.78518295288086,80.8622998193443,663.1624194232774,,83.87916564941406,353.5989074707031,18.43127545008475,27.049999237060547,358.4082290155518,583.5552370548248,30.966630576080274,,71.39572935860615,28.089537840059368,286.84276844854264,188.19600148311196,381.4870965359307,15.5625,938.6306989428645,216.06468381659175,829.1760780097917,151.9933389488032,105.67231638951816,,108.22166811033269,530.6974056897491,49.98864174995968,258.67986696348464,72.7489781016407,16.803374694729857,89.3154656545491,129.7053981819365,151.0073019218194,195.12046813964844,69.00042724609375,195.22377372293175,55.98945588862559,79.538572850467,41.43533408661748,136.27887700424247,129.65004193794198,57.223376064295415,39.04950251400816,77.62107340186785,40.62363430635784,21.107105255126953,12.955665780210303,164.34417316429773,554.3461049180985,91.584085680816,157.1486522746536,89.79451871798129,,78.5,37.842341864271575,167.860129752454,22.931082439523653,86.92411161513155,34.87311365866877
2008-09-30,642.4545969033483,220.1325225830078,,461.3921865771094,30.002263372305393,,72.63036384071826,,,57.86037442273985,187.2569554974709,27.665599466959637,4.567245591333161,98.44597158968796,,25.01993307309646,117.24484741424692,178.9391248980952,32.76324998202443,305.4515547479391,0.915796246331134,,41.559746237362134,193.9432562410988,6.459788242480586,8.399601979339888,82.2938833629924,308.59788704222683,158.79038115742748,24.8577598437482,3248.999399210254,13.916666030883787,104.66827923441978,24.093103503679515,20.47929001076764,35.79021839453124,143.99011679503693,12.425798637670724,199.112172289718,,134.50782152990874,142.3671091697143,138.6633892913802,35.3291579216859,267.7158467330008,298.2077032326701,,87.1471142943942,19.599822011418823,34.196594488051566,49.46303176879883,15.567307180040167,28.728022114745695,,396.2230511272062,459.94944549071977,31.05128167627755,209.82041428476603,,24.86821350644017,29.76722840512498,,49.76764619314497,,155.0,469.6995631329738,78.18460944954676,16.98161428238146,181.332470049825,20.600000381469727,118.15480234707046,72.57363955521134,,,52.97007266036428,42.000365889507165,26.8318260348573,8.398508802732273,53.155349157610786,,45.659967246576315,,114.1745641534238,63.461113835369574,15.833333015441896,,36.047172507777766,193.7153799224052,68.33402536659996,,41.71812674486243,,25.79635643125258,41.355497662301545,416.2869900657131,,126.98575917082752,102.22705647147556,23.98502795433847,21.640909162684544,570.057173348725,2.223332666804724,110.21197333422988,2749.2223074990616,36.493645284777486,,45.0,27.900257214441964,435.156494140625,,,27.54302215576172,76.13349586252909,394.73959991305145,,84.16666412353516,322.9535205677243,15.601579219358308,24.200000762939453,304.8599218524199,548.1923848950247,26.99484627487394,,68.59315420990993,25.19218453737421,263.7166800618958,123.56305044668692,308.67465365220835,14.109375,771.3064210102173,190.81336537417644,660.7630974764463,142.24577988622926,91.5216514096696,,112.190864674406,477.44393969339035,46.079859261893766,196.45551588483917,60.70504189174532,12.713667708628758,73.4171859842625,124.16229434863264,118.5501169796874,140.4867401123047,47.39645767211914,220.96226332666623,53.606919053366525,58.143849587327715,26.969740924671704,100.8463115268968,103.0178658927924,49.65870406149946,30.200841482515155,62.47204322437205,32.81139737251344,17.307825088500977,12.629739863362571,120.61514147244966,463.685435566528,85.29518346141431,100.29708685164027,81.8584504532092,,58.75,30.9121837557371,128.46439481939734,21.10599202200466,76.46101756464645,31.01133401727469
2008-10-31,483.1123280612826,220.1325225830078,,376.21498485263766,21.791116845906796,,64.82259673515675,,,43.85051506548793,176.31067770383152,19.28454907188992,3.2260008889175804,83.32668326487106,,12.114775430414271,96.15260313506042,181.22483742067612,11.38669700651639,224.0548262230536,0.723226441682972,,36.5577347766555,167.7757143923485,4.453455225072074,7.653842522813749,47.64382027290963,264.5449914935235,129.35862321865113,14.468679775309726,2394.1615921088983,12.541666030883787,87.22753142816686,22.27267023191784,19.378176278049377,24.712652333207064,83.54855269462628,6.501868925437885,152.8624018357343,,127.69728034197696,107.33614691690616,96.33456755988384,28.63740189970044,216.29303008924063,170.50180608575994,,75.57135360343352,15.09012936300051,31.566082250744003,40.971882057802304,10.298371925948793,23.591793392216857,,353.32173139387044,266.5578487866267,28.44175148010254,141.0310067986049,,13.460935008232209,25.22488799483619,,42.12787552478199,,151.5,438.9555186866322,47.909780633025846,14.266789547845,151.88407508571336,17.700000762939453,101.65407794652172,55.34502880114757,,,44.525571252545745,23.80515483085748,14.817575454711914,7.64714344992642,38.81443703041094,,34.021146201942564,,112.092887187577,58.70153310347577,14.875,,30.00086403920361,112.99256911202396,41.874296084139914,,19.582487158861102,,16.89341185289297,27.89588228887621,279.90465503224516,,119.2405315923204,65.17492872977925,18.70831954959165,20.35205179965593,493.8265067593291,1.6578449398968325,102.65456368890996,1927.571404971202,29.94049182695767,,19.243749618530273,20.31686726052652,435.156494140625,,,18.575525283813477,64.31152348966067,325.59208664501307,,55.08333206176758,290.73683802421897,11.04347002851929,19.799999237060547,282.9538664143759,556.0235370757831,20.13550255888252,,64.25769889697489,21.49111382220229,175.18252557125012,80.55356930479522,195.9217304237087,12.440625190734863,470.5047994741293,127.71543674703588,381.50681992827873,98.01439607692907,61.3195224520281,,93.1508097454077,353.7675164825565,31.161144291623703,122.35551113623931,56.35440086648296,10.866381561191211,58.88251400689858,105.21719235879036,88.34868523089501,36.72855758666992,30.014081954956055,216.10595002574783,43.600292953129205,48.1073825253968,11.777810564045224,97.51724998296694,55.46318285392992,46.94348792656755,26.73833338445911,45.90721138546,23.827322013164416,11.017909049987791,12.324177940838068,89.96451864715756,333.67370135065977,91.03422144907648,59.483124129559094,49.5022397250855,,41.5,23.808758502618783,111.3358152074039,11.72755725800604,57.34574598738536,26.91549438882698
